N›;Point;;›;';"""";Latitude;;›;';"""";Longitude
1;Abong-Mbang;N;3;58;59,49114;3,983191983;E;13;11;5,51423;13,18486506
2;Ambam;N;2;21;56,41415;2,365670597;E;11;15;33,74925;11,25937479
3;Bafoussam;N;5;28;18,50594;5,471807206;E;10;25;12,2718;10,4200755
4;Campo;N;2;22;50,82239;2,380783997;E;9;49;55,85609;9,832182247
5;Douala;N;4;2;54,00261;4,048334058;E;9;41;25,40157;9,690389325
6;Eyumojock;N;5;46;18,5196;5,771811;E;8;58;54,55836;8,981821767
7;Fotokol;N;12;23;10,60377;12,38627883;E;14;13;28,47654;14,22457682
8;Guider;N;9;56;49,87505;9,947187514;E;13;56;48,44226;13,94678952
9;Kette;N;4;53;52,09059;4,897802942;E;14;33;7,36694;14,55204637
10;Kolofata;N;11;9;21,67866;11,15602185;E;14;0;5,35794;14,00148832
11;Kousseri;N;12;5;45,5263;12,09597953;E;15;1;36,55466;15,02682074
12;Mayo-Baleo;N;7;39;26,53353;7,657370425;E;12;20;12,63975;12,33684438
13;Mayo-Djo;N;9;2;53,77951;9,048272086;E;14;26;18,85852;14,43857181
14;Mbe;N;7;51;37,92589;7,860534969;E;13;36;1,72841;13,60048011
15;Meiganga;N;6;31;10,0687;6,519463528;E;14;17;13,0813;14,28696703
16;Mintom-II;N;2;42;0,29733;2,700082592;E;13;17;22,00469;13,28944575
17;Mouloundou;N;2;2;35,6569;2,043238028;E;15;12;43,14241;15,211984
18;Nkambe;N;6;34;52,69114;6,581303094;E;10;41;44,80974;10,69578048
19;Tibati;N;6;28;39,04892;6,477513589;E;12;36;8,2879;12,60230219
20;Touboro;N;7;46;26,88485;7,774134681;E;15;21;0,28978;15,35008049
21;Touroua;N;9;4;32,61881;9,075727447;E;12;58;54,17828;12,98171619
22;Yagoua;N;10;19;54,63603;10,33184334;E;15;14;48,60228;15,24683397
23;Yaounde;N;3;52;25,52931;3,873758142;E;11;31;0,66098;11,51685027
